< test(1) >
------ INPUT START ------
793
509 476 698
855 22 375
569 719 496
7 43 678
653 376 899
663 898 519
264 141 237
604 180 743
128 851 398
32 38 541
427 565 939
187 872 474
576 759 902
605 714 287
557 849 159
879 646 625
527 401 123
15 937 831
209 878 57
309 307 677
399 895 676
357 512 665
717 414 236
245 715 477
987 589 964
927 932 149
379 849 578
923 293 677
510 480 61
800 62 452
210 724 164
536 198 416
599 663 530
179 28 547
504 847 292
41 780 845
465 962 520
976 774 370
436 30 826
959 79 277
796 139 461
837 843 449
701 952 198
169 898 394
767 443 985
283 525 35
510 635 839
420 942 504
824 206 298
745 441 892
917 633 980
966 3 337
82 740 2
792 223 822
982 912 951
174 115 532
734 933 882
834 922 998
75 264 390
900 25 614
968 611 545
91 344 436
685 734 21
401 907 986
200 707 641
81 622 902
661 428 649
839 543 711
995 580 31
549 960 796
881 795 827
609 270 612
602 532 505
513 670 353
529 340 147
707 328 68
970 962 197
890 309 778
290 246 122
684 340 307
767 154 869
576 665 863
598 105 644
203 522 246
444 88 935
628 751 488
468 46 571
143 316 807
392 182 171
871 251 428
185 182 573
309 918 992
774 21 20
195 978 493
358 843 555
992 35 543
946 260 700
343 202 623
732 131 62
40 979 171
538 786 692
342 877 186
384 537 172
367 512 806
537 232 623
490 764 317
454 214 371
761 768 9
738 803 16
404 733 124
212 690 522
222 70 251
84 803 35
717 981 372
904 264 342
950 455 632
339 828 522
507 291 25
384 334 36
4 463 812
538 846 91
225 361 116
87 689 619
419 843 860
706 265 283
222 670 909
276 71 299
653 775 961
475 801 683
18 234 943
553 198 401
238 309 116
53 81 496
257 27 535
329 76 457
605 399 47
527 108 297
599 328 621
973 913 764
900 900 642
446 463 692
552 473 170
706 873 262
200 705 15
98 793 384
154 196 474
137 703 43
883 695 803
636 32 223
522 986 695
298 890 530
920 425 151
98 124 792
693 126 216
487 547 17
738 29 430
476 171 219
320 534 274
205 692 685
46 407 211
89 265 735
844 993 700
821 234 735
39 230 382
809 212 307
722 167 947
144 665 437
622 230 757
49 416 533
227 31 750
644 899 992
731 801 323
988 570 619
625 831 160
552 720 845
187 387 538
869 786 122
894 95 122
